r,l,t,episode
92.188246,80,731.602685,833
92.447046,77,731.687426,834
92.6,74,731.749581,835
92.279492,79,731.821323,836
92.137215,79,731.894547,837
92.7,73,731.951307,838
92.2,78,732.021703,839
92.094506,81,732.099095,840
92.298521,78,732.177543,841
92.344584,78,732.241364,842
92.3,77,732.329145,843
92,80,732.441676,844
92.4,76,732.541441,845
92.4,76,732.632424,846
92.161516,80,732.753978,847
92.866466,75,732.844676,848
92.61883,76,732.925028,849
92.397973,77,735.587171,850
92.294088,78,735.65634,851
92.245049,78,735.73959,852
92.5,75,735.817923,853
92.549533,75,735.894024,854
92.378524,77,735.980244,855
92.049564,80,736.080039,856
92.213969,79,736.181298,857
92.151314,79,736.278535,858
91.911402,82,736.396095,859
92.307413,77,736.50455,860
92.533001,75,736.627438,861
92.438593,77,736.739329,862
92.493009,76,736.832095,863
92.577883,77,736.928934,864
92.161227,79,737.046721,865
91.888332,82,737.145549,866
92.6,74,737.234852,867
92.3,77,737.350288,868
92.3,77,737.453832,869
92.167379,79,737.540431,870
92.3,77,737.627055,871
91.8,82,737.715365,872
86.206626,141,737.87013,873
92.491811,77,737.978238,874
91.973671,81,739.866355,875
92.3,77,739.948241,876
92.45726,77,740.041728,877
92.413664,77,740.135764,878
92.741538,73,740.239232,879
92.420872,78,740.347237,880
91.992984,82,740.455028,881
92.011414,81,740.548506,882
92.655196,75,740.618704,883
92.806787,74,740.700241,884
92.5,75,740.788392,885
92.343327,77,740.86836,886
92.297318,78,740.951231,887
92.008717,83,741.038474,888
92.338597,78,741.13992,889
92.17019,81,741.249119,890
92.4,76,741.346215,891
92.799942,73,741.440321,892
92.6,74,741.515965,893
93.099466,70,741.602365,894
92.579501,75,741.693654,895
92.318354,77,741.793119,896
92.589277,75,741.886083,897
91.7,83,741.982299,898
92.34947,77,742.062329,899
92.302886,79,742.154936,900
92.8,72,742.231965,901
92.5,75,744.872943,902
92.633536,76,744.974622,903
92.533782,76,745.061623,904
92.6,74,745.145124,905
92.694361,74,745.234253,906
92.566011,75,745.340511,907
92.732343,73,745.431985,908
92.338823,77,745.529779,909
92.3,77,745.647747,910
92.6,74,745.733178,911
92.2,78,745.829281,912
92.547745,76,745.898602,913
92.682089,74,745.968156,914
92.4,76,746.032018,915
92.7,73,746.099433,916
92.490832,76,746.158415,917
92.5,75,746.228047,918
92.518273,77,746.318193,919
92.632763,75,746.40568,920
92.65639,77,746.481149,921
92.180991,79,746.568564,922
92.650587,75,746.63875,923
92.3,77,746.720657,924
92.9,71,746.778305,925
92.7,73,746.847142,926
92.418512,76,746.914634,927
92.824569,74,746.979299,928
92.837068,73,748.812659,929
92.428293,76,748.883396,930
92.602291,74,748.942643,931
92.5,75,749.019786,932
92.3,77,749.094362,933
92.795878,73,749.150596,934
92.568202,76,749.220819,935
92.432646,76,749.315183,936
92.379192,77,749.402483,937
92.09652,80,749.486128,938
92.450998,77,749.573811,939
92.301415,77,749.642922,940
92.869485,72,749.699918,941
84.725772,154,749.853511,942
92.3,77,749.915067,943
92.7,73,749.981055,944
92.57834,75,750.051748,945
92.495472,76,750.113408,946
92.4,76,750.184525,947
92.572791,76,750.263536,948
92.631102,75,750.336181,949
92.6,74,750.424683,950
90.848397,95,750.53179,951
92.856984,75,750.603214,952
92.468008,76,750.660737,953
92.565506,76,750.730509,954
92.5,75,752.587261,955
92.702258,73,752.655202,956
92.552316,75,752.727787,957
92.2,78,752.786795,958
92.477562,76,752.857305,959
92.42217,77,752.93844,960
92.690555,74,752.997033,961
92.85348,72,753.067018,962
92.4,76,753.139782,963
92.6,74,753.199918,964
92.594284,75,753.281862,965
92.939086,71,753.361467,966
92.522635,75,753.432752,967
92.557454,76,753.516835,968
93.150255,72,753.583009,969
92.390663,77,753.640985,970
92.694932,75,753.709954,971
92.640242,75,753.775523,972
92.5,75,753.839462,973
92.5,75,753.911893,974
92.097577,80,753.988418,975
92.6,74,754.045795,976
92.2,78,754.118411,977
92.417036,77,754.177421,978
