r,l,t,episode
-0.000665,999,849.171749,364
-0.000695,999,851.689192,365
-0.000714,999,854.40714,366
-0.000668,999,856.697278,367
-0.000671,999,858.723515,368
-0.000592,999,859.684629,369
-0.000663,999,861.596289,370
-0.000616,999,863.62875,371
-0.000596,999,865.610232,372
-0.000605,999,868.111466,373
-0.000609,999,870.739207,374
-0.000605,999,873.255536,375
-0.000717,999,875.178199,376
-0.000652,999,877.089041,377
-0.000633,999,879.010953,378
-0.00062,999,880.975409,379
-0.000594,999,883.04894,380
-0.000563,999,885.681643,381
-0.000531,999,888.606647,382
-0.000524,999,890.792523,383
-0.000531,999,892.778379,384
-0.000521,999,894.787277,385
-0.000613,999,896.805838,386
-0.000605,999,898.802248,387
-0.000643,999,901.461172,388
-0.000606,999,904.260999,389
-0.000661,999,906.820225,390
-0.00063,999,908.726162,391
-0.000589,999,910.733795,392
-0.000597,999,912.841983,393
-0.000554,999,914.809894,394
-0.000524,999,916.895673,395
-0.000502,999,919.445333,396
-0.000559,999,922.524754,397
-0.000562,999,924.97488,398
-0.00051,999,927.098903,399
-0.000523,999,929.124719,400
-0.000552,999,931.221238,401
-0.000529,999,933.289173,402
-0.000549,999,935.904535,403
-0.000545,999,938.802459,404
-0.00055,999,941.658682,405
-0.000611,999,943.906897,406
-0.00059,999,945.852038,407
-0.000604,999,947.783406,408
-0.000517,999,949.675171,409
-0.000518,999,950.660003,410
-0.000471,999,953.221693,411
-0.000495,999,955.930369,412
-0.000462,999,958.590326,413
-0.000478,999,960.54646,414
-0.00049,999,962.47521,415
-0.000509,999,964.481279,416
-0.000473,999,966.413195,417
-0.000462,999,968.395065,418
-0.00046,999,970.964357,419
-0.000532,999,973.648469,420
-0.000442,999,976.118307,421
-0.000431,999,978.01565,422
-0.000443,999,979.853594,423
-0.000455,999,981.743776,424
-0.000435,999,983.595698,425
-0.000477,999,985.513906,426
-0.000497,999,988.202333,427
-0.000463,999,991.126641,428
-0.000466,999,993.45596,429
-0.000484,999,995.335788,430
-0.000474,999,997.304177,431
-0.000451,999,999.278688,432
-0.000449,999,1001.330741,433
-0.000473,999,1003.570407,434
-0.000497,999,1006.21149,435
-0.000449,999,1008.824636,436
-0.000448,999,1010.743532,437
-0.00048,999,1012.656324,438
-0.000436,999,1014.606602,439
-0.000444,999,1016.497404,440
-0.000465,999,1018.429895,441
-0.000483,999,1020.91899,442
-0.000518,999,1023.727515,443
-0.000499,999,1026.194419,444
-0.000477,999,1028.070373,445
-0.000454,999,1029.988283,446
-0.0004,999,1031.967841,447
-0.000426,999,1033.946425,448
-0.000459,999,1036.111621,449
-0.000476,999,1038.977522,450
-0.000497,999,1040.518318,451
-0.000566,999,1043.42072,452
-0.000587,999,1045.502545,453
-0.000641,999,1047.364715,454
-0.000564,999,1049.212883,455
-0.000505,999,1051.123797,456
-0.000487,999,1053.096434,457
-0.000528,999,1055.60279,458
-0.000592,999,1058.352187,459
-0.000503,999,1060.601093,460
-0.000598,999,1062.518946,461
-0.000587,999,1064.463557,462
-0.000623,999,1066.334229,463
-0.000589,999,1068.260296,464
-0.000744,999,1070.360929,465
-0.001229,999,1072.890372,466
-0.001044,999,1075.519809,467
-0.001004,999,1077.586535,468
-0.000676,999,1079.506082,469
-0.00066,999,1081.525217,470
-0.000702,999,1083.45577,471
-0.00038,999,1085.416379,472
-0.000372,999,1087.946123,473
-0.000545,999,1090.679814,474
-0.000396,999,1093.43134,475
-0.000407,999,1095.404714,476
-0.000443,999,1097.388933,477
-0.00046,999,1099.403974,478
-0.000619,999,1101.422493,479
-0.000527,999,1103.532422,480
-0.000489,999,1106.042777,481
-0.000525,999,1108.885164,482
-0.000452,999,1111.286704,483
-0.000566,999,1113.213612,484
-0.000716,999,1115.041291,485
-0.00043,999,1116.86548,486
-0.000826,999,1118.745553,487
-0.000526,999,1120.95801,488
-0.00064,999,1123.426327,489
-0.00161,999,1125.983234,490
-0.000663,999,1128.46326,491
-0.00046,999,1129.414725,492
-0.000537,999,1131.351945,493
-0.000829,999,1133.243163,494
-0.000895,999,1135.108042,495
-0.000735,999,1136.971268,496
-0.000522,999,1139.07152,497
-0.001054,999,1141.629102,498
-0.000511,999,1144.364291,499
-0.000603,999,1146.284793,500
-0.000511,999,1148.183493,501
-0.000657,999,1150.083403,502
-0.001028,999,1151.994559,503
-0.000656,999,1153.875806,504
-0.000712,999,1156.206052,505
-0.000903,999,1158.799022,506
-0.000909,999,1161.4541,507
-0.001279,999,1163.351034,508
-0.000936,999,1165.296331,509
-0.000829,999,1167.229203,510
-0.001263,999,1169.17438,511
-0.001145,999,1171.133842,512
-0.000769,999,1173.532137,513
-0.000786,999,1176.262719,514
-0.001087,999,1178.541683,515
-0.001544,999,1180.463518,516
-0.000763,999,1182.397905,517
-0.001204,999,1184.268741,518
-0.000764,999,1186.231208,519
-0.000732,999,1188.328026,520
-0.000533,999,1190.837628,521
-0.000421,999,1193.568513,522
-0.001054,999,1195.68234,523
-0.000789,999,1197.653228,524
-0.000665,999,1199.593003,525
-0.000357,999,1201.538296,526
-0.000356,999,1203.474016,527
-0.000719,999,1205.835387,528
-0.000315,999,1208.589599,529
-0.000815,999,1211.237782,530
-0.00034,999,1213.157628,531
-0.000352,999,1215.008823,532
-0.000344,999,1215.976286,533
-0.000717,999,1217.818131,534
-0.000476,999,1219.709701,535
-0.0003,999,1221.834128,536
-0.00043,999,1224.297118,537
-0.000757,999,1227.005624,538
-0.00029,999,1229.11954,539
-0.000371,999,1230.991057,540
-0.000377,999,1232.872118,541
-0.000493,999,1234.713676,542
-0.000375,999,1236.560637,543
-0.000476,999,1238.856131,544
-0.000361,999,1241.360076,545
-0.000373,999,1244.055021,546
-0.00036,999,1246.103361,547
-0.000486,999,1248.026663,548
-0.000351,999,1249.908887,549
-0.000414,999,1251.876885,550
-0.00035,999,1253.760107,551
-0.000296,999,1256.257692,552
-0.000379,999,1258.871872,553
-0.000345,999,1261.671364,554
-0.000306,999,1263.541365,555
-0.000368,999,1265.369987,556
-0.000297,999,1267.226429,557
-0.000342,999,1269.065049,558
-0.000368,999,1271.010535,559
-0.000437,999,1273.46004,560
-0.00045,999,1276.13378,561
-0.000463,999,1278.972999,562
-0.000432,999,1281.044618,563
-0.000446,999,1283.194942,564
-0.000472,999,1285.253096,565
-0.000489,999,1287.246377,566
-0.000453,999,1289.374482,567
-0.000401,999,1292.117271,568
-0.000407,999,1294.857042,569
-0.000415,999,1297.268187,570
-0.000445,999,1299.21765,571
-0.000444,999,1301.323416,572
-0.000483,999,1303.295002,573
-0.000452,999,1304.291493,574
-0.000479,999,1306.227335,575
-0.000421,999,1308.739856,576
-0.00057,999,1311.39297,577
-0.000551,999,1313.659943,578
-0.00063,999,1315.669772,579
-0.000627,999,1317.655431,580
-0.000706,999,1319.547941,581
-0.000656,999,1321.485931,582
-0.000566,999,1323.592665,583
-0.000556,999,1326.049466,584
-0.000611,999,1328.694806,585
-0.000553,999,1330.8644,586
-0.000558,999,1332.75774,587
-0.000507,999,1334.617331,588
-0.000443,999,1336.493649,589
-0.000443,999,1338.391477,590
-0.000483,999,1340.585701,591
-0.00047,999,1343.167792,592
-0.000468,999,1345.934115,593
-0.000431,999,1347.923998,594
-0.000428,999,1349.88641,595
-0.000498,999,1351.842417,596
-0.000589,999,1353.80466,597
-0.000479,999,1355.651862,598
-0.000454,999,1357.980327,599
-0.000479,999,1360.695108,600
-0.000526,999,1363.126832,601
-0.000613,999,1365.11874,602
-0.000694,999,1367.051519,603
-0.00071,999,1368.989419,604
-0.000629,999,1370.915253,605
-0.000593,999,1373.137292,606
-0.000685,999,1375.703861,607
-0.000729,999,1378.57685,608
-0.000766,999,1380.703315,609
-0.00084,999,1382.672888,610
-0.000864,999,1384.550005,611
-0.000993,999,1386.478952,612
-0.00108,999,1388.395592,613
-0.000887,999,1390.713584,614
-0.000937,999,1391.921485,615
-0.000734,999,1394.591865,616
-0.000682,999,1397.095024,617
-0.000589,999,1399.027467,618
-0.000543,999,1400.876791,619
-0.000517,999,1402.766569,620
-0.00054,999,1404.691581,621
-0.000458,999,1406.776494,622
-0.000545,999,1409.302798,623
-0.000461,999,1411.988672,624
-0.000476,999,1414.23056,625
-0.000504,999,1416.099188,626
-0.000426,999,1418.049464,627
-0.000377,999,1420.13969,628
-0.00041,999,1422.133139,629
-0.000405,999,1424.432536,630
-0.000408,999,1427.045355,631
-0.00038,999,1429.645049,632
-0.000415,999,1431.802785,633
-0.000499,999,1433.773328,634
-0.000521,999,1435.792674,635
-0.000545,999,1437.869017,636
-0.000519,999,1439.851,637
-0.000419,999,1442.358134,638
-0.000432,999,1444.788966,639
-0.000438,999,1447.425639,640
-0.000371,999,1449.356318,641
-0.000346,999,1451.226054,642
-0.000313,999,1453.059456,643
-0.00029,999,1454.958996,644
-0.000267,999,1456.915631,645
-0.000254,999,1459.779883,646
-0.000211,999,1462.669394,647
-0.000249,999,1465.024646,648
-0.000264,999,1467.018348,649
-0.0003,999,1469.177851,650
-0.000256,999,1471.352524,651
-0.000366,999,1473.469744,652
-0.000374,999,1476.218586,653
-0.000399,999,1479.036382,654
-0.000332,999,1481.774604,655
-0.000293,999,1482.769615,656
-0.000276,999,1484.782594,657
-0.000253,999,1486.800494,658
-0.000236,999,1488.856726,659
-0.000226,999,1490.821863,660
-0.000249,999,1493.406868,661
-0.000266,999,1496.12971,662
-0.000259,999,1498.756891,663
-0.000297,999,1500.799581,664
-0.000295,999,1502.7436,665
-0.000311,999,1504.678851,666
-0.000276,999,1506.591287,667
-0.000275,999,1508.729594,668
-0.000259,999,1511.754866,669
-0.000224,999,1514.938963,670
-0.000241,999,1516.929271,671
-0.000233,999,1518.834757,672
-0.000204,999,1520.720856,673
-0.000227,999,1522.60309,674
-0.000235,999,1524.545646,675
-0.000227,999,1527.181982,676
-0.00024,999,1529.82069,677
-0.00022,999,1532.417706,678
-0.000222,999,1534.270419,679
-0.000252,999,1536.182954,680
-0.000254,999,1538.157957,681
-0.000241,999,1540.106027,682
-0.000232,999,1542.246259,683
-0.000246,999,1544.74747,684
-0.000285,999,1547.394622,685
-0.000245,999,1549.658255,686
-0.000289,999,1551.604603,687
-0.000285,999,1553.462273,688
-0.000261,999,1555.324932,689
-0.000246,999,1557.266514,690
-0.000291,999,1559.431247,691
-0.0003,999,1562.053695,692
-0.000318,999,1564.690205,693
-0.000325,999,1566.86497,694
-0.000279,999,1568.773708,695
-0.000301,999,1570.73971,696
-0.000275,999,1571.712741,697
-0.000365,999,1573.643245,698
-0.000406,999,1575.532612,699
-0.000452,999,1578.013602,700
-0.000408,999,1580.66847,701
-0.00048,999,1583.039718,702
-0.000508,999,1584.872488,703
-0.000557,999,1586.7514,704
-0.000466,999,1588.655186,705
-0.00037,999,1590.532699,706
-0.000346,999,1592.570344,707
-0.000401,999,1595.079005,708
-0.000374,999,1597.740991,709
-0.000348,999,1599.973884,710
-0.000283,999,1601.97872,711
-0.00024,999,1603.828721,712
-0.00025,999,1605.669521,713
-0.000266,999,1607.560028,714
-0.000303,999,1609.715131,715
-0.000388,999,1612.230402,716
-0.000418,999,1614.811743,717
-0.000427,999,1616.944682,718
-0.000439,999,1618.892164,719
-0.000389,999,1620.816719,720
-0.000386,999,1622.769353,721
-0.000395,999,1624.676875,722
-0.000469,999,1626.813943,723
-0.000453,999,1629.318401,724
-0.000431,999,1632.09307,725
-0.000448,999,1634.030246,726
-0.000429,999,1635.974785,727
-0.000393,999,1637.903674,728
-0.000299,999,1639.822614,729
-0.000264,999,1641.760423,730
-0.000248,999,1644.129243,731
-0.000211,999,1646.677875,732
-0.000211,999,1649.371304,733
-0.000209,999,1651.399331,734
-0.000207,999,1653.388472,735
-0.000227,999,1655.386832,736
-0.00021,999,1657.366745,737
-0.000219,999,1658.342232,738
-0.000199,999,1660.621549,739
-0.000184,999,1663.401635,740
-0.000252,999,1666.111507,741
-0.000209,999,1668.223397,742
-0.000203,999,1670.248855,743
-0.000188,999,1672.333773,744
-0.000197,999,1674.277705,745
-0.000217,999,1676.393365,746
-0.000322,999,1678.90239,747
-0.000332,999,1681.806549,748
-0.000335,999,1684.289396,749
-0.000325,999,1686.266695,750
-0.000292,999,1688.163396,751
-0.000322,999,1690.08235,752
-0.000277,999,1692.567699,753
-0.000273,999,1695.489836,754
-0.000421,999,1698.52311,755
-0.000441,999,1701.74466,756
-0.000363,999,1704.330725,757
-0.000356,999,1706.244907,758
-0.000332,999,1708.199742,759
-0.000244,999,1710.10602,760
-0.000188,999,1712.037978,761
-0.000187,999,1713.952524,762
-0.000168,999,1716.387181,763
-0.000164,999,1719.046672,764
-0.000179,999,1721.576255,765
-0.000198,999,1723.445522,766
-0.000172,999,1725.349896,767
-0.000176,999,1727.267804,768
